Broker,Year,Period_Type,Period_Number,Market,Submarket,Secondary Submarket,Property Type,Inventory SF,Vacancy Q,Net Absorption Q,Under Construction Q,Asking Rent Q,Delivered Q,Leasing Activity Q
CBRE,2022,Q,1,Tampa,Hillsborough County,Tampa CBD,Industrial,8529796,0.027,67250,0,6.58,,
CBRE,2022,Q,1,Tampa,Hillsborough County,Northeast Tampa,Industrial,2319823,0.071,0,0,7.31,,
CBRE,2022,Q,1,Tampa,Hillsborough County,East Tampa,Industrial,48265667,0.045,122814,916982,7.99,,
CBRE,2022,Q,1,Tampa,Hillsborough County,Plant City,Industrial,13904578,0.078,341411,2676092,5.69,,
CBRE,2022,Q,1,Tampa,Hillsborough County,Southeast Tampa,Industrial,3447201,0,112000,0,,,
CBRE,2022,Q,1,Tampa,Hillsborough County,Airport Area,Industrial,20420096,0.034,38154,667654,10.1,,
CBRE,2022,Q,1,Tampa,Hillsborough County,Westshore,Industrial,3619841,0.018,-1626,0,7,,
CBRE,2022,Q,1,Tampa,Hillsborough County,Airport,Industrial,12820652,0.042,68500,667654,10.35,,
CBRE,2022,Q,1,Tampa,Hillsborough County,Southwest Tampa,Industrial,1919859,0.01,-18500,0,7.5,,
CBRE,2022,Q,1,Tampa,Hillsborough County,Northwest Tampa,Industrial,2059744,0.028,-10220,0,11.02,,
CBRE,2022,Q,1,Tampa,Hillsborough County,Hillsborough County,Industrial,96887161,0.045,681629,4260728,7.59,,
CBRE,2022,Q,1,Tampa,Pinellas County,South Pinellas,Industrial,8553723,0.041,79957,114334,8.46,,
CBRE,2022,Q,1,Tampa,Pinellas County,Mid Pinellas/Gateway,Industrial,29522090,0.02,183923,0,8.81,,
CBRE,2022,Q,1,Tampa,Pinellas County,North Pinellas,Industrial,6832279,0.009,17609,130000,10.57,,
CBRE,2022,Q,1,Tampa,Pinellas County,Pinellas County,Industrial,44908092,0.022,281489,244334,8.99,,
CBRE,2022,Q,1,Tampa,Tampa Bay,Tampa Total,Industrial,141795253,0.038,963118,4505062,7.75,,
CBRE,2022,Q,1,Tampa,Tampa Bay,Warehouse/Distribution,Warehouse/Distribution,98261020,0.041,1036273,4505062,6.95,,
CBRE,2022,Q,2,Grand Rapids,Kent County,,Industrial,131774989,0.033,1507337,1694876,6.12,,
CBRE,2022,Q,2,Grand Rapids,Ottawa County,,Industrial,42722098,0.011,167824,175000,5.83,,
CBRE,2022,Q,2,Grand Rapids,TOTAL,,Industrial,174497087,0.028,1675161,1869876,6.05,,
CBRE,2022,Q,2,Polk County,Polk East,,Warehouse/Distribution,14761850,0.007,59658,1216800,9,,
CBRE,2022,Q,2,Polk County,Polk West,,Warehouse/Distribution,33408541,0.094,44889,2089395,5.82,,
CBRE,2022,Q,2,Polk County,Polk County Total,,Warehouse/Distribution,48170391,0.067,104547,3306195,5.87,,
CBRE,2022,Q,2,Savannah,Savannah Market,,Overall,91402603,0.007,3133220,23024169,5.79,3373702,
CBRE,2022,Q,2,Tulsa,Bartlesville,,Industrial,2980433,0.034,5000,,,3.32,
CBRE,2022,Q,2,Tulsa,CBD,,Industrial,1670724,0.102,40,,,4.81,
CBRE,2022,Q,2,Tulsa,East,,Industrial,4599748,0.011,11046,,6.53,31500,
CBRE,2022,Q,2,Tulsa,Mayes County,,Industrial,4205354,0.002,,,,6.65,
CBRE,2022,Q,2,Tulsa,Midtown,,Industrial,125284,0.063,13288,,,5.74,
CBRE,2022,Q,2,Tulsa,Muskogee County,,Industrial,6193351,0.054,,,,2.34,
CBRE,2022,Q,2,Tulsa,North Central,,Industrial,6665075,0.051,37005,,,4.75,
CBRE,2022,Q,2,Tulsa,Northeast,,Industrial,38573561,0.023,92422,684616,5.29,57600,
CBRE,2022,Q,2,Tulsa,Northwest,,Industrial,6073873,0.018,-2082,,,4.9,
CBRE,2022,Q,2,Tulsa,South,,Industrial,2950615,0.024,-3964,,,6.61,35000
CBRE,2022,Q,2,Tulsa,South Central,,Industrial,13460211,0.041,111766,,,5.8,
CBRE,2022,Q,2,Tulsa,Southeast,,Industrial,16188706,0.02,-8159,169400,6.44,,
CBRE,2022,Q,2,Tulsa,Southwest,,Industrial,17960095,0.022,-95951,,,5.05,
CBRE,2022,Q,2,Tulsa,Outlying Market Area,,Industrial,8392603,0.046,7400,,,2.73,
CBRE,2022,Q,2,Tulsa,Tulsa Total,,Industrial,130039633,0.029,167811,854016,5.17,124100,
CBRE,2022,Q,3,Raleigh Durham,West Raleigh,,Warehouse,1061700,0,0,0,12.5,,
CBRE,2022,Q,3,Raleigh Durham,US 70/Glenwood Ave,,Warehouse,1213644,0,0,0,,,
CBRE,2022,Q,3,Raleigh Durham,Six Forks Road/Falls,,Warehouse,2463792,0.028,-5842,0,,,
