FID,Submarket,Market
691,Lynnwood / Edmonds / Mtlk Terrace,Seattle
692,Mukilteo,Seattle
693,Everett,Seattle
694,Monroe,Seattle
695,North Snohomish,Seattle
696,Tacoma West,Seattle
697,Downtown / Lake Union,Seattle
698,Marymoor,Seattle
699,Willows,Seattle
700,Sumner,Seattle
701,I-90,Seattle
702,Frederickson,Seattle
703,US 1/64 West Corridor,Raleigh Durham
704,North Alamance,Greensboro Winston-Salem
705,Southwest Alamance,Greensboro Winston-Salem
706,Southeast Alamance,Greensboro
707,Southeast Forsyth,Greensboro Winston-Salem
708,Davidson County,Greensboro Winston-Salem
709,Davie County,Greensboro Winston-Salem
710,South County,St Louis
711,Earth City,St Louis
712,Southern Anne Arundel County,Baltimore
713,Southern Anne Arundel County,Baltimore
714,West,Houston
715, , 
716,Riviera Beach,Palm Beach County
717,Southwest,Portland
718,Southwest,Minneapolis
719,Polk East,Polk County
720,Polk West,Polk County
721,Pasco County,Tampa
722,Airport,Tampa
723,I-840,Nashville
724,Lake County,Orlando
725,Airport Area,Orange County
726,Fayette County,Memphis
727,Marshall County,Memphis
728, , 
729, Iredell County,Charlotte
730, , 
731, , 
732,Rowan County,Charlotte
733,Cabarrus County,Charlotte
734,Lancaster County,Charlotte
735,Lincoln County,Charlotte
736,Gaston County,Charlotte
737,York County,Charlotte
738,Union County,Charlotte
739,Southeast,Boise
740,Southwest,Boise
741,Bench,Boise
742,Downtown,Boise
743,West,Boise
744,Eagle,Boise
745,Star,Boise
746,West Canyon,Boise
747,Meridian,Boise
748,Caldwell,Boise
749,North Boise,Boise
750,South Meridian,Boise
751,Nampa,Boise
752,Kuna,Boise
753,Airport,Boise
754,Worcester South,Boston
755,City of Worcester,Boston
756,Worcester North,Boston
757,Rockford,Chicago
758,Dekalb Area,Chicago
759,South Dallas,Dallas - Fort Worth
760,Caldwell County,Austin
761,Hays County,Austin
762,Burnet County,Austin
763,Round Rock,Austin
764,Bastrop County,Austin
765,Cedar Park,Austin
766,Far Northeast,Austin
767,East,Austin
768,Southeast,Austin
769,Horizon East,El Paso
770,South,Indianapolis
771,West,Indianapolis
772,Apex,Las Vegas
773,Shelby County,Louisville
774,Westlaco,McAllen
775,Morris Region,Northern and Central New Jersey
776,Granville,Raleigh Durham
777,Franklin County,Raleigh Durham
778,Johnson County,Raleigh Durham
779,San Carlos,San Francisco Peninsula
780,Belmont,San Francisco Peninsula
781,Dixon,Napa-Solano County
782,Northeast,Oklahoma City
783,Longmont,Denver
784,I-25 South,Northern Colorado
785,Windsor,Northern Colorado
786,Weld County South,Northern Colorado
787,Southeast PA,Philadelphia
788,Northern DE,Philadelphia
789,Southern NJ,Philadelphia
790,Kent Valley,Puget Sound
791,Eastside,Puget Sound
792,Thurston County,Puget Sound
793,Lewis County,Puget Sound
794,Tacoma,Puget Sound
795,Northend,Puget Sound
796,Bakersfield,South Central Valley
797,Visalia,South Central Valley
798,Hanford,South Central Valley
799,Fresno,South Central Valley
800,Merced,South Central Valley
801,Madera,South Central Valley
802,Peninsula,Norfolk
803,Southside,Norfolk
804,City of Vernon,Central Los Angeles
805,City of Commerce,Central Los Angeles
806,Pico Rivera,Central Los Angeles
807,South Gate,Central Los Angeles
808,Cudahy,Central Los Angeles
809,Maywood,Central Los Angeles
810,Bell,Central Los Angeles
811,Bell Gardens,Central Los Angeles
812,Monterey Park,Central Los Angeles
813, Palo Alto,Silicon Valley
814, , 
815,Frederick,Suburban Maryland
816, , 
817,Harrisburg/York,PA I-78/I-81 Corridor
818,Scranton,PA I-78/I-81 Corridor
